Temperatura Motor,99,07/21/19,14:08:13
Temperatura Motor,99,07/21/19,14:08:45
Temperatura Motor,99,07/21/19,14:08:47
Temperatura Motor,99,07/21/19,14:08:47
Temperatura Motor,99,07/21/19,14:08:48
Temperatura Motor,99,07/21/19,14:08:48
Temperatura Motor,99,07/21/19,14:08:49
Temperatura Motor,99,07/21/19,14:08:49
Temperatura Motor,99,07/21/19,14:08:50
Temperatura Motor,99,07/21/19,14:08:50
Temperatura Motor,99,07/21/19,14:08:50
Temperatura Motor,99,07/21/19,14:08:51
Temperatura Motor,99,07/21/19,14:08:51
Temperatura Motor,99,07/21/19,14:08:52
Temperatura Motor,99,07/21/19,14:08:52
Temperatura Motor,99,07/21/19,14:08:53
Temperatura Motor,99,07/21/19,14:08:53
Temperatura Motor,99,07/21/19,14:08:54
